head	relation	tail	weight
MeSH:cvd_Root	-parent_of->	MeSH:CM	1.0
MeSH:cvd_Root	-parent_of->	MeSH:ARR	1.0
MeSH:cvd_Root	-parent_of->	MeSH:CHD	1.0
MeSH:cvd_Root	-parent_of->	MeSH:VD	1.0
MeSH:cvd_Root	-parent_of->	MeSH:IHD	1.0
MeSH:cvd_Root	-parent_of->	MeSH:CCS	1.0
MeSH:cvd_Root	-parent_of->	MeSH:VOO	1.0
MeSH:cvd_Root	-parent_of->	MeSH:OHD	1.0
Protein:P01160	-observed_in->	PMID:10962114	0.7
Protein:P01160	-observed_in->	PMID:10323511	0.9
Protein:Q01484	-observed_in->	PMID:35224819	0.94
Protein:Q01484	-observed_in->	PMID:12571597	0.9571428571428572
Protein:Q13586	-observed_in->	PMID:34592581	0.7
Protein:Q13586	-observed_in->	PMID:26936863	0.7
Protein:Q13586	-observed_in->	PMID:24585777	0.85
Protein:Q13586	-observed_in->	PMID:25213556	0.7
Protein:Q13586	-observed_in->	PMID:29110214	0.7
Protein:Q13586	-observed_in->	PMID:26241845	0.7
Protein:Q92736	-observed_in->	PMID:26241845	0.85
Protein:Q13586	-observed_in->	PMID:29089467	0.7
Protein:Q13586	-observed_in->	PMID:29145451	0.85
Protein:P01160	-observed_in->	PMID:19144431	0.7
Protein:P01160	-observed_in->	PMID:19585255	0.7
Protein:P01160	-observed_in->	PMID:19927626	0.97
Protein:P01160	-observed_in->	PMID:27633393	0.925
Protein:P01160	-observed_in->	PMID:19919584	0.85
Protein:P01160	-observed_in->	PMID:29020337	0.7
Protein:P01160	-observed_in->	PMID:21422153	0.7
Protein:P01160	-observed_in->	PMID:29762843	0.7
Protein:P01160	-observed_in->	PMID:18267220	0.9
Protein:P01160	-observed_in->	PMID:28004184	0.925
Protein:P01160	-observed_in->	PMID:29733687	0.9625
Protein:P01160	-observed_in->	PMID:22865868	0.9666666666666668
Protein:P01160	-observed_in->	PMID:32830215	0.85
Protein:P01160	-observed_in->	PMID:19352585	0.9666666666666668
Protein:P01160	-observed_in->	PMID:22391109	0.85
Protein:P01160	-observed_in->	PMID:19359327	0.925
Protein:P01160	-observed_in->	PMID:22858663	0.7
Protein:P01160	-observed_in->	PMID:32710942	0.7
Protein:P01160	-observed_in->	PMID:23273592	0.85
Protein:P01160	-observed_in->	PMID:12535704	0.7
Protein:P01160	-observed_in->	PMID:23294508	0.9571428571428572
Protein:P01160	-observed_in->	PMID:22654096	0.85
Protein:P01160	-observed_in->	PMID:22645194	0.9625
Protein:P01160	-observed_in->	PMID:26043148	0.7
Protein:P01160	-observed_in->	PMID:26048191	0.94
Protein:P01160	-observed_in->	PMID:30929250	0.94
Protein:P01160	-observed_in->	PMID:24182673	0.85
Protein:P01160	-observed_in->	PMID:29476612	0.7
Protein:P01160	-observed_in->	PMID:16829185	0.7
Protein:P01160	-observed_in->	PMID:20711735	0.9
Protein:P01160	-observed_in->	PMID:19008149	0.7
Protein:P01160	-observed_in->	PMID:33759549	0.7
Protein:P01160	-observed_in->	PMID:19085703	0.7
Protein:P01160	-observed_in->	PMID:1533880	0.7
Protein:P01160	-observed_in->	PMID:15718490	0.9625
